latitude,longitude,event_date,OrgName,Location (State),Primary CI Sector targeted,Secondary CI Sector,Strain/Group,Ransom Amount,Local Currency,RansomScale,PaidStatus,,AmtPaid
41.748162,-71.189562,11/6/2013,"Swansea, Massachusetts Police Department",MA,Emergency Services,,CryptoLocker,2 bitcoin,$750,$1000 or less,Yes,bitcoin,$750
43.011,-75.04,1/1/2014,"Village of Ilion, N.Y.",NY,Government Facilities,,,$300,$300,$1000 or less,Yes,prepaid credit card into an online payment portal,$300
43.011,-75.04,5/1/2014,"Village of Ilion, N.Y.",NY,Government Facilities,,,$500,$500,$1000 or less,Yes,,$500
36.1817,-87.3393,10/14/2014,Dickson County Sheriff’s Office,TN,Government Facilities,,CryptoWall,$572 ,$572,$1000 or less,Yes,Western Union,$572
41.6253,-87.7176,1/1/2015,Midlothian Police Department,IL,Emergency Services,,Cryptoware,,$500,$1000 or less,Yes,bitcoin,$606
40.4406,-79.9959,1/1/2015,Allegheny County DA's office,PA,Government Facilities,,"Goznym, Nymain",6 bitcoin,"$1,400",$50000 or less,Yes,bitcoin,"~ $1,400"
43.9651,-69.491,3/20/2015,Lincoln County Sheriff's Department,ME,Government Facilities,,Megacode,300 euros in bitcoin,$350,$1000 or less,Yes,bitcoin,300 euros in bitcoin
42.6107,-71.2342,4/4/2015,Tewksbury Police Department,MA,Emergency Services,,KEYHolder,$500,$500,$1000 or less,Yes,bitcoin,$500
42.274,-89.093,9/1/2015,"The Arc of Winnebago, Boone and Ogle Counties",IL,Healthcare and Public Health,,CryptoWall,$700 or $1400 after 2 weeks,$700,$1000 or less,Yes,bitcoin,$700
51.0605,-114.0893,12/6/2015,Kensington Wine Market,Canada,Commercial Facilities,,,$500,$500,$1000 or less,Yes,bitcoin,$500
NA,NA,1/1/2016,Uber,,Transportation Systems,,,,,,Yes,Bitcoin,"$100,000 "
42.1715,-71.3061,2/2/2016,Medfield,MA,Government Facilities,,,1/2 bitcoin,$300 ,$1000 or less,Yes,bitcoin,$300 
34.1643,-118.356,2/5/2016,Hollywood Presbyterian Medical Center,CA,Healthcare and Public Health,,,40 bitcoin,"$17,000",$50000 or less,Yes,bitcoin,"$17, 000"
33.9195,-78.928,2/5/2016,Horry County Schools,SC,Education Facilities,,,1.5 bitcoin per machine/22 bitcoin total,"$580 - $8,500",$50000 or less,Yes,bitcoin,"$10,000"
41.327,-89.087,3/9/2016,Peru Township,IL,Government Facilities,,,$200,$200,$1000 or less,Yes,,$200
42.4554,-71.0657,3/25/2016,Melrose Police Department,MA,Emergency Services,,,1 bitcoin,$489 ,$1000 or less,Yes,bitcoin,1 bitcoin
42.7325,-84.5555,4/25/2016,Lansing Board of Water & Light,MI,Water and Wastewater Systems,,,"$25,000","$25,000",$50000 or less,Yes,bitcoin,"$25,000"
39.2125,-95.712,5/18/2016,Kansas Heart Hospital,KS,Healthcare and Public Health,,,,,,Yes,,
40.6787,-80.6488,5/26/2016,Columbiana County Juvenile Court System,OH,Government Facilities,,Locky,5.4 bitcoin,"$2,883",$50000 or less,Yes,bitcoin,"$2,883"
51.083,-114.1334,5/28/2016,University of Calgary,Canada,Education Facilities,,Samsam,"$20,000","20,000 CDN",$50000 or less,Yes,bitcoin,"$20,000 CDN"
37.9981,-122.5311,7/26/2016,Marin General Healthcare District and Prima Medical Group,CA,Healthcare and Public Health,,,,,,Yes,,
40.79,-74.059,7/27/2016,New Jersey Spine Center,NJ,Healthcare and Public Health,,,,,,Yes,,
NA,NA,10/1/2016,Bighton PD,MA,Emergency Services,,,"$4,600 ","$4,600 ",$50000 or less,Yes,,"$4,600 "
39.5278,-87.1242,11/4/2016,Clay County Courthouse,IN,Government Facilities,,,,,,Yes,,
40.3487,-85.7583,11/4/2016,Madison County Government and Police Department,IN,Government Facilities,,,,"$21,000",$50000 or less,Yes,,"$21,000"
36.3333,-93.4641,12/5/2016,Carroll County Sheriff's Office and another unspecified agency in the county,AR,Government Facilities,,Dharma,3 bitcoin,"$2,400",$50000 or less,Yes,bitcoin,"$2,440"
34.2362,-118.529,12/30/2016,Los Angeles Valley College (LAVC) part of Los Angeles Community College District (LACCD),CA,Education Facilities,,,"$28,000","$28,000",$50000 or less,Yes,bitcoin,"$28,000"
47.321,12.786,1/21/2017,Romantik Seehotel Jaegerwirt,Austria,Commercial Facilities,,,2 bitcoin,"€1,500 ($1,600)",$50000 or less,Yes,bitcoin,"$1,600"
40.7357,-74.1724,4/25/2017,City of Newark,NJ,Government Facilities,,Samsam,"$30,000 in bitcoin","$30,000 ",$50000 or less,Yes,bitcoin,"$30,000"
NA,NA,6/10/2017,Internet Nayana,South Korea,Information Technology,Communication,Erebus,397 bitcoin,$1.14 million,$5000000 or less,Yes,Bitcoin,397.6 bitcoin (1.14 million USD)
39.7764,-86.3682,7/5/2017,Brownsburg Public Library,IN,Education Facilities,,,$1000 in bitcoin,"$1,000 ",$1000 or less,Yes,bitcoin,"$1,000"
32.9832,-80.1952,8/1/2017,Dorchester School District,SC,Education Facilities,,,"$2,900 ","$2,900",$50000 or less,Yes,,"$2,900"
32.3668,-86.3,9/18/2017,Montgomery County (Alabama),AL,Government Facilities,,Samsam,9 bitcoin,37000,$50000 or less,Yes,Bitcoin,"$37,000"
47.6394,-122.2428,10/15/2017,Town of Yarrow Point,WA,Government Facilities,,,"$10,000 in bitcoin","$10,000",$50000 or less,Yes,bitcoin,"$10,000 in bitcoin"
43.075,-88.3719,11/30/2017,Village of Nashotah,WI,Government Facilities,,,"$2,000 in bitcoin","$2,000",$50000 or less,Yes,bitcoin,"$2,000 in bitcoin"
34.1336,-117.9076,1/1/2018,Azusa police department,CA,Emergency Services,,,,,,Yes,,"$65,000"
